,0
ACSM4,2.038201471221613
ADAM20P1,3.116875433358613
AKR1C2,2.4495994167133244
ALX4,12.737282102005206
ANXA8,4.479350893940433
ARGFX,4.470412387523707
ARHGEF4,2.263623316337204
MAILR,7.967560483803528
BAIAP2L1,2.0498566591295355
BANF2,2.0029160691844354
BRSK2,6.944844271291607
BTN1A1,3.6861783695553303
C22orf15,2.7933262605502973
C2CD3,3.7011391109179033
ECRG4,3.3020375967291558
C4orf51,16.578990145291005
C9orf129,9.079781564921792
CBWD6,2.7717618674092632
CBX2,2.460209896456164
CCL3L1,2.1559499833711024
CCL8,6.37912278417866
CD101,2.7059019797247563
CD200R1L,10.42986849462544
CDHR4,2.2322076847052292
CDKN3,2.2378472906844067
CDRT15L2,2.055659614479076
CDY1B,2.4306280800126254
CFC1,3.151033696152294
CFHR1,7.920384184125135
CIZ1,4.289267199028067
CLDN14,5.091514962531615
CLDN3,2.227684364715952
CNGA4,2.487195161037956
CNTF,2.1914387363378913
CNTNAP1,2.499304295610995
COL20A1,6.914774353824575
COL2A1,3.131203924401127
CSRNP3,2.4993076398623053
CTAGE15,12.286949127032077
CTRB2,2.1512278529489746
CXCL3,2.5974489097578872
DEFB104B,3.0387274210833906
DEFB128,9.075042595946433
DKKL1,9.387154611288254
DSG2,51.08869755759319
EBF4,2.672890625870998
EEF1A2,2.255533163207857
EGLN3,2.8246192215119303
ELFN2,2.0001874719978647
ERG,17.321333427747103
EXTL1,4.646222853878214
FABP12,2.1368535712481878
FAM106C,2.3222715272197934
ALKAL1,4.078629930215851
FAM169A,2.2278273686880135
FAM169B,6.087742814948454
FAM27C,2.1849919599840386
FAM81A,5.3412731431889
FRG2C,3.138641072715051
FRMD5,6.001750929897567
FSTL3,2.3880424435460146
GABRA4,3.096832287769791
GGT5,2.129136401189322
GJA9,2.3558271391595436
GOLGA8DP,2.2199250309285605
GPR137C,2.355980596207642
GRPR,2.1446776822960483
GSTT2B,5.442547683625634
GTF2H2C_2,6.6449937161419195
GTF2IP4,2.5671435128631788
HGSNAT,3.3166998848652858
HHIPL2,2.5610364980149405
H2AC1,2.194447292601096
