,study_id,study_type,study_type_id,study_name,reference_id,reference_source,comments,description,study_description
0,990,,,,SDY1,,,Efficacy and Safety Evaluation of Allergen Immunotherapy Co-Administered with Omalizumab (an anti-IgE Monoclonal Antibody) (ITN019AD),"A series of allergy shots may reduce symptoms of seasonal ragweed allergies. This study will determine whether taking a drug called omalizumab (also known as Xolair) before getting the allergy shots is more effective than allergy shots alone or other treatments, such as prescription antihistamines."
1,1089,,,,SDY10,,,Role of Antimicrobial Peptides in Host Defense Against Vaccinia Virus (AMP 01),"Atopic dermatitis (AD) is a chronic inflammatory skin disorder characterized by recurrent viral skin infections. Recent studies have demonstrated that the skin of people with AD my have decreased antimicrobial peptide (AMP) expression. The purpose of this study is to compare small pox virus replication and the number of AMPs and other antiviral molecules in people with AD, as compared to those seen in people with psoriasis or asthma, or healthy individuals."
2,2815,,,,SDY100,,,PPARG and microRNA-146 in mucosal immune responses to C. difficile,"Clostridium difficile is typically a harmless anaerobic bacterium but recently it has re-emerged as a facultative pathogen that can cause nosocomial diarrhea, colitis and even death. Peroxisome proliferator-activated receptor (PPAR) gamma has been implicated in the prevention of inflammation in autoimmune and infectious diseases; however, its role in the immunoregulatory mechanisms modulating host responses to C. difficile remains largely unknown. To characterize the role of PPAR gamma in C. difficile-associated disease (CDAD), immunity and gut pathology, we used a mouse model of C. difficile infection in wild-type and T cell-specific PPAR gamma null mice. The loss of PPAR gamma in T cells increased disease activity and colonic inflammatory lesions following C. difficile infection. Colonic expression of IL-17 was upregulated and IL-10 downregulated in colons of T cell-specific PPAR gamma null mice. Also, both the loss of PPAR gamma in T cells and C. difficile infection favored Th17 responses in spleen and colonic lamina propria of mice with CDAD. MicroRNA (miRNA)-sequencing analysis and RT-PCR validation indicated that miR-146b was significantly overexpressed in colons of C. difficile-infected mice. We next developed a computational model that predicts the upregulation of miR-146b, downregulation of the PPAR gamma co-activator NCOA4, and PPAR gamma, leading to upregulation of IL-17. Treatment of C. difficile-infected mice with the PPAR gamma agonist pioglitazone ameliorated colitis and suppressed pro-inflammatory gene expression. In conclusion, our data indicates that miRNA-146b and PPAR gamma may be implicated in the regulation of Th17 responses and colitis in C. difficile-infected mice."
3,5919,,,,SDY1015,,,MaHPIC: Host M. mulatta infected with P. cynomolgi,"MaHPIC Experiment 04: Immunological measures of Macaca mulatta infected with Plasmodium cynomolgi B strain to produce and integrate clinical, hematological, parasitological, and omics measures of acute primary infection and relapses"
4,3134,,,,SDY1025,,,Asthma Phenotypes in the Inner City (APIC/ICAC-19),"This study looks to define the phenotypic characteristics of Difficult-to-Treat asthma, among 650 children between the ages of 6 to 17 years, receiving one year of guidelines-based therapy for asthma and rhinitis/rhinosinusitis."
5,3134,,,,SDY1026,,,Biomarkers of Cockroach Sublingual Immunotherapy 2 (BioCSI 2/ICAC-17),"This study looks to compare two doses of glycerinated German cockroach allergenic extract versus placebo administered via the sublingual route in 99 children ages 5 to 17 years with perennial allergic rhinitis, asthma, or both. It is designed to study biomarkers of the immune response to allergen immunotherapy as well as the safety of this therapy."
6,3134,,,,SDY1027,,,The Role of Epigenetics in Inner City Asthma (ICAC-15),The study is designed to determine the relation between methylation of CpG motifs and asthma in children residing in the inner city.
7,3134,,,,SDY1028,,,Preventative Omalizumab or Step-up Therapy for Severe Fall Exacerbations (PROSE/ICAC-20),A three-armed prospective randomized double-blind placebo-controlled trial investigating the efficacy of standard care plus 4-5 months of treatment with (a) a boost of inhaled corticosteroid therapy Flovent Diskus (fluticasone) versus (b) Xolair(omalizumab) or (c) placebo Xolair (omalizumab) and placebo Flovent Diskus (fluticasone) in reducing the exacerbations during the fall season.
8,3134,,,,SDY1029,,,Subcutaneous Immunotherapy for Cockroach (SCITCO/ICAC-18),"This is an open label single site trial of German cockroach allergenic extract administered by subcutaneous injection in 10 adults ages 18 to 55 years with perennial allergic rhinitis, asthma, or both. It is designed to study biomarkers of the immune response to allergen immunotherapy as well as the safety of this therapy."
9,5918,,,,SDY1039,,,Scleroderma: Cyclophosphamide or Transplantation (SCOT),"This prospective, randomized, open-label, multi-center, 2-arm, Phase II clinical trial will randomize approximately 114 subjects with severe SSc in the United States and Canada. Subjects will be randomly assigned in a 1:1 ratio to a treatment of high-dose immunosuppressive therapy with autologous stem cell rescue (HDIT transplantation) or to treatment of monthly pulse IV cyclophosphamide. Subjects will be stratified by treatment center. The initial treatment period will be approximately 3 months for the HDIT transplantation arm (from the time of initiation of mobilization until the day of transplant) and 12 months for the cyclophosphamide arm. Subjects will be followed for up to 72 months after randomization. The study will continue for 54 months after the last subject is randomized."
10,3670,,,,SDY1041,,,CMV CD8 T Cells,"An analysis of human cytomegalovirus (CMV)-specific T cell responses and CMV persistence in multiple anatomic sites including blood, lymphoid, mucosal and secretory tissues of CMV-seropositive donors."
11,5934,,,,SDY1043,,,A Haystack Heuristic for Autoimmune Disease Biomarker Discovery Using Next-Gen Immune Repertoire Sequencing Data,"The authors applied high-throughput sequencing of blood-based B-cell DNA from healthy control and multiple sclerosis patients and used a computational method, the Haystack Heuristic, to query and analyze data for B-cell related disease biomarkers"
12,1079,,,,SDY1045,,,KIR and HLA in MS,Our goal is to carry out case/control association analyses for Multiple Sclerosis using our high resolution NGS HLA and MALDI-TOF KIR genotyping methods.
13,5590,,,,SDY1064,,,An Arntl2-Driven Secretome Enables Lung Adenocarcinoma Metastatic Self-Sufficiency,"1) High ARNTL2 is a top predictor of lung adenocarcinoma patient outcome,2) Arntl2 is required for metastatic ability in vivo and clonal growth in cell culture,3) An Arntl2-driven pro-metastatic secretome controls metastatic self-sufficiency,4) Smoc2 is an Arntl2/Clock-dependent pro-metastatic secreted factor"
14,5590,,,,SDY1079,,,A targetable CD109-Janus kinase-Stat axis in metastatic lung cancer.,"By coupling the systematic genomic analysis of purified cancer cells in distinct malignant states from mouse models with extensive human validation, we uncovered several key regulators of metastatic ability, including an actionable pro-metastatic CD109--Jak--Stat3 axis."
15,5597,,,,SDY1085,,,RNAseq of Tumor-Associated Microglia Reveals Ccl5 as a Stromal Chemokine Critical for NF1 Glioma Growth,"The molecular mechanism of microglial associated optic glioma is still unknown. To identify potential tumor-associated microglial factors, global RNAseq gene expression experiment was conducted in the mouse glioma models. After validating of prioritized potential secreted or membrane-bound proteins, chemokine (C-C motif) ligand 5 (Ccl5) was identified as a chemokine highly expressed in genetically engineered Nf1 mouse optic gliomas relative to nonneoplastic optic nerves. Some positive effects of targeted Ccl5 in vito and vivo experiments establish Ccl5 as a relevant stroma-targeted low-grade brain tumor treatment marker"
16,2516,,,,SDY1086,,,Responses to Inactivated Influenza Vaccine (IIV) in adults with or without antibiotics,"Single center, open mechanistic study in which subjects will be randomized to receive IIV per label at day 4 of a 5 day course of a specific antibiotic regimen (Group A) or IIV alone (Group B)"
17,2517,,,,SDY1092,,,Transcriptional responses induced by controlled human malaria infection (CHMI),"Whole blood RNA-Seq was applied to investigate gene expression kinetics in Tanzanian males who underwent controlled malaria infection by intradermal injection with aseptic, purified, cryopreserved Plasmodium falciparum sporozoites."
