,0
ACSM4,2.038201471
ADAM20P1,3.116875433
AKR1C2,2.449599417
ALX4,12.7372821
ANXA8,4.479350894
ARGFX,4.470412388
ARHGEF4,2.263623316
MAILR,7.967560484
BAIAP2L1,2.049856659
BANF2,2.002916069
BRSK2,6.944844271
BTN1A1,3.68617837
C22orf15,2.793326261
C2CD3,3.701139111
ECRG4,3.302037597
C4orf51,16.57899015
C9orf129,9.079781565
CBWD6,2.771761867
CBX2,2.460209896
CCL3L1,2.155949983
CCL8,6.379122784
CD101,2.70590198
CD200R1L,10.42986849
CDHR4,2.232207685
CDKN3,2.237847291
CDRT15L2,2.055659614
CDY1B,2.43062808
CFC1,3.151033696
CFHR1,7.920384184
CIZ1,4.289267199
CLDN14,5.091514963
CLDN3,2.227684365
CNGA4,2.487195161
CNTF,2.191438736
CNTNAP1,2.499304296
COL20A1,6.914774354
COL2A1,3.131203924
CSRNP3,2.49930764
CTAGE15,12.28694913
CTRB2,2.151227853
CXCL3,2.59744891
DEFB104B,3.038727421
DEFB128,9.075042596
DKKL1,9.387154611
DSG2,51.08869756
EBF4,2.672890626
EEF1A2,2.255533163
EGLN3,2.824619222
ELFN2,2.000187472
ERG,17.32133343
EXTL1,4.646222854
FABP12,2.136853571
FAM106C,2.322271527
ALKAL1,4.07862993
FAM169A,2.227827369
FAM169B,6.087742815
FAM27C,2.18499196
FAM81A,5.341273143
FRG2C,3.138641073
FRMD5,6.00175093
FSTL3,2.388042444
GABRA4,3.096832288
GGT5,2.129136401
GJA9,2.355827139
GOLGA8DP,2.219925031
GPR137C,2.355980596
GRPR,2.144677682
GSTT2B,5.442547684
GTF2H2C_2,6.644993716
GTF2IP4,2.567143513
HGSNAT,3.316699885
HHIPL2,2.561036498
H2AC1,2.194447293
H2AC14,4.202704714
HMMR,2.128120231
HNRNPCL2,3.639396755
HPD,8.863689866
HSD17B3,4.191164211
HSFY2,2.881947671
HSPA4L,2.116538569
IL1RL1,4.469605287
IL2RA,13.58734899
IQCF3,12.44779978
ITGA3,2.276813641
ITPKA,5.68447314
JRK,2.039122005
KATNAL2,2.259947674
KCNA7,12.0688536
KCNQ1,2.18079774
KIAA0319,3.781138106
KLF7,2.597787269
KLK13,3.162181267
KNG1,42.16301955
KRT27,10.04593962
KRTAP1-5,21.50049551
LGALS7,3.787893072
LINC00160,3.535816299
LINC00380,2.157954275
LINC00930,8.172366627
LINC01615,3.517602228
LRRC36,4.824885922
LTC4S,2.65686358
LUZP6,2.155029823
LYPD6,4.369033155
MAB21L3,55.96606785
MAGEA5P,3.211926911
MEST,2.854623903
MICAL3,2.236984083
MINCR,2.039055341
MIR100,5.360205788
MIR1179,2.967436882
MIR1200,6.008772555
MIR1203,5.653908073
MIR124-2,24.40928314
MIR1246,348.0513572
MIR1249,4.617572377
MIR1271,5.628995354
MIR1301,2.580731431
MIR1302-6,2.495093783
MIR1302-8,8.267592311
MIR139,2.088499894
MIR153-2,4.113144613
MIR15B,3.703867152
MIR1827,6.25931223
MIR212,21.93958257
MIR296,2.402389657
MIR302D,2.063344226
MIR30C1,2.861574062
MIR323A,2.437719024
MIR337,2.974098741
MIR448,2.039328707
MIR450A2,2.798287384
MIR499B,3.272464532
MIR512-2,4.056236654
MIR520H,2.451975716
MIR521-2,5.266184676
MIR550A2,4.378019261
MIR564,3.867313138
MIR568,2.860446065
MIR592,2.248855133
MIR624,2.422484236
MIR629,2.911327126
MIR630,5.281241361
MIR641,2.469599104
MIR643,2.405648089
MIR646,2.741998676
MIR708,2.589821899
MIR875,7.707330351
MIR924,2.069566028
MIR943,3.30300985
MIRLET7I,2.263860985
MORN3,4.008316029
MPV17L2,2.150953806
MRPS31P5,13.45450823
MUC16,inf
MYBPHL,24.76714787
MYH15,7.328256173
NEUROD1,4.995062801
NEUROD4,2.337358799
NID1,3.722835467
NME5,110.6271108
NMS,18.55677413
NOX4,2.393089529
OLFM4,2.389458613
OLIG3,3.134230218
OR10K1,10.14177814
OR11A1,5.31910167
OR11G2,2.828403791
OR2B3,2.22701938
OR2L13,3.791312569
OR4C6,2.259430422
OR52A1,2.209699451
OR52N1,4.528795723
OR52R1,2.386902741
OR6C76,3.651655977
OR7A5,2.501663899
OR8D4,2.579489443
PA2G4P4,8.439374211
PAX3,6.105296944
PBK,2.253969738
PCDH11X,2.245985244
PCDHB6,3.184509975
PCDHGA2,2.874889233
PCDHGA3,2.132027537
PEX3,4.619342004
PLEKHD1,5.126486531
PSPH,2.799803076
PTPN14,5.524213966
PTPRVP,2.276921084
PYGO1,2.964170611
RAB39B,2.424129647
RAB6C-AS1,2.746031964
RAD21L1,3.362627046
RBMS2,4.153012569
RERG-AS1,3.134163984
RFT1,2.100038595
RIMBP3B,3.620916046
RMST,2.340473732
RORB,3.049525048
RPE,2.316557345
RPL22L1,2.353958669
S100A2,3.137844217
SALL3,6.410185452
SCARNA9L,2.114105435
SCG5,2.487989833
SCGB2B2,3.509385251
SCN3A,3.337907143
SCN8A,2.202268178
SCUBE2,6.194762016
SEBOX,2.9541484
SEMG2,2.230755798
SENP8,2.236641758
SERPINE3,4.663275911
SIRT6,2.508074197
SLC13A2,3.621872498
SLC13A5,2.050157792
SLC16A11,13.15810178
SLC28A1,5.127360769
SLC30A8,2.078367022
SLC34A3,7.342435887
SLC35F6,2.06215598
SLC7A4,2.323724222
SMAD5-AS1,2.303409697
SMN2,3.883351478
SNAR-I,4.796480256
SNORA53,2.770787006
SNORD101,13.60505212
SNORD11,4.485052109
SNORD113-9,5.757042415
SNORD114-17,39.64923542
