sample_id,group_id,organism_id,collection,collection_id,collection_time,collection_time_unit,collection_time_unit_id,T0_definition,expsample_type,expsample_type_id,expsample_reference_id,expsample_reference_name,biosample_type,biosample_type_id,biosample_reference_id,biosample_reference_name,replicates,expsample_source
1,,1,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094438,PBMC,NCIT_C12519,ES1067535,,,GEO
2,,2,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094439,PBMC,NCIT_C12519,ES1067536,,,GEO
3,,3,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094440,PBMC,NCIT_C12519,ES1067537,,,GEO
4,,4,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094441,PBMC,NCIT_C12519,ES1067538,,,GEO
5,,5,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094442,PBMC,NCIT_C12519,ES1067539,,,GEO
6,,6,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094443,PBMC,NCIT_C12519,ES1067540,,,GEO
7,,7,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094447,PBMC,NCIT_C12519,ES1067541,,,GEO
8,,8,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094444,PBMC,NCIT_C12519,ES1067542,,,GEO
9,,9,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094445,PBMC,NCIT_C12519,ES1067543,,,GEO
10,,10,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094446,PBMC,NCIT_C12519,ES1067544,,,GEO
11,,11,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094448,PBMC,NCIT_C12519,ES1067545,,,GEO
12,,12,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094449,PBMC,NCIT_C12519,ES1067546,,,GEO
13,,13,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094450,PBMC,NCIT_C12519,ES1067547,,,GEO
14,,14,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094451,PBMC,NCIT_C12519,ES1067548,,,GEO
15,,15,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094452,PBMC,NCIT_C12519,ES1067549,,,GEO
16,,16,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094453,PBMC,NCIT_C12519,ES1067550,,,GEO
17,,17,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094454,PBMC,NCIT_C12519,ES1067551,,,GEO
18,,18,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094455,PBMC,NCIT_C12519,ES1067552,,,GEO
19,,19,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094456,PBMC,NCIT_C12519,ES1067553,,,GEO
20,,20,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094468,PBMC,NCIT_C12519,ES1067554,,,GEO
21,,21,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094457,PBMC,NCIT_C12519,ES1067555,,,GEO
22,,22,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094462,PBMC,NCIT_C12519,ES1067556,,,GEO
23,,23,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094463,PBMC,NCIT_C12519,ES1067557,,,GEO
24,,24,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094458,PBMC,NCIT_C12519,ES1067558,,,GEO
25,,25,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094459,PBMC,NCIT_C12519,ES1067559,,,GEO
26,,26,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094469,PBMC,NCIT_C12519,ES1067560,,,GEO
27,,27,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094460,PBMC,NCIT_C12519,ES1067561,,,GEO
28,,28,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094461,PBMC,NCIT_C12519,ES1067562,,,GEO
29,,29,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094464,PBMC,NCIT_C12519,ES1067563,,,GEO
30,,30,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094465,PBMC,NCIT_C12519,ES1067564,,,GEO
31,,31,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094466,PBMC,NCIT_C12519,ES1067565,,,GEO
32,,32,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094467,PBMC,NCIT_C12519,ES1067566,,,GEO
33,,33,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094470,PBMC,NCIT_C12519,ES1067567,,,GEO
34,,34,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094471,PBMC,NCIT_C12519,ES1067568,,,GEO
35,,35,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094472,PBMC,NCIT_C12519,ES1067569,,,GEO
36,,36,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094473,PBMC,NCIT_C12519,ES1067570,,,GEO
37,,37,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094474,PBMC,NCIT_C12519,ES1067571,,,GEO
38,,38,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094477,PBMC,NCIT_C12519,ES1067572,,,GEO
39,,39,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094478,PBMC,NCIT_C12519,ES1067573,,,GEO
40,,40,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094475,PBMC,NCIT_C12519,ES1067574,,,GEO
41,,41,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094476,PBMC,NCIT_C12519,ES1067575,,,GEO
42,,42,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094479,PBMC,NCIT_C12519,ES1067576,,,GEO
43,,43,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094480,PBMC,NCIT_C12519,ES1067577,,,GEO
44,,44,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094481,PBMC,NCIT_C12519,ES1067578,,,GEO
45,,45,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094488,PBMC,NCIT_C12519,ES1067579,,,GEO
46,,46,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094482,PBMC,NCIT_C12519,ES1067580,,,GEO
47,,47,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094485,PBMC,NCIT_C12519,ES1067581,,,GEO
48,,48,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094483,PBMC,NCIT_C12519,ES1067582,,,GEO
49,,49,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094484,PBMC,NCIT_C12519,ES1067583,,,GEO
50,,50,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094486,PBMC,NCIT_C12519,ES1067584,,,GEO
51,,51,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094487,PBMC,NCIT_C12519,ES1067585,,,GEO
52,,52,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094489,PBMC,NCIT_C12519,ES1067586,,,GEO
53,,53,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094490,PBMC,NCIT_C12519,ES1067587,,,GEO
54,,54,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094499,PBMC,NCIT_C12519,ES1067588,,,GEO
55,,55,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094491,PBMC,NCIT_C12519,ES1067589,,,GEO
56,,56,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094492,PBMC,NCIT_C12519,ES1067590,,,GEO
57,,57,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094493,PBMC,NCIT_C12519,ES1067591,,,GEO
58,,58,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094496,PBMC,NCIT_C12519,ES1067592,,,GEO
59,,59,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094494,PBMC,NCIT_C12519,ES1067593,,,GEO
60,,60,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094501,PBMC,NCIT_C12519,ES1067594,,,GEO
61,,61,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094502,PBMC,NCIT_C12519,ES1067595,,,GEO
62,,62,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094497,PBMC,NCIT_C12519,ES1067596,,,GEO
63,,63,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094495,PBMC,NCIT_C12519,ES1067597,,,GEO
64,,64,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094500,PBMC,NCIT_C12519,ES1067598,,,GEO
65,,65,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094498,PBMC,NCIT_C12519,ES1067599,,,GEO
66,,66,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094503,PBMC,NCIT_C12519,ES1067600,,,GEO
67,,67,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094504,PBMC,NCIT_C12519,ES1067601,,,GEO
68,,68,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094506,PBMC,NCIT_C12519,ES1067602,,,GEO
69,,69,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094505,PBMC,NCIT_C12519,ES1067603,,,GEO
70,,70,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094507,PBMC,NCIT_C12519,ES1067604,,,GEO
71,,71,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094508,PBMC,NCIT_C12519,ES1067605,,,GEO
72,,72,blood draw,EFO_0009121,0.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094509,PBMC,NCIT_C12519,ES1067606,,,GEO
73,,1,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094510,PBMC,NCIT_C12519,ES1067607,,,GEO
74,,2,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094511,PBMC,NCIT_C12519,ES1067608,,,GEO
75,,3,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094512,PBMC,NCIT_C12519,ES1067609,,,GEO
76,,4,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094513,PBMC,NCIT_C12519,ES1067610,,,GEO
77,,5,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094514,PBMC,NCIT_C12519,ES1067611,,,GEO
78,,6,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094515,PBMC,NCIT_C12519,ES1067612,,,GEO
79,,7,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094519,PBMC,NCIT_C12519,ES1067613,,,GEO
80,,8,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094516,PBMC,NCIT_C12519,ES1067614,,,GEO
81,,9,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094517,PBMC,NCIT_C12519,ES1067615,,,GEO
82,,10,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094518,PBMC,NCIT_C12519,ES1067616,,,GEO
83,,11,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094520,PBMC,NCIT_C12519,ES1067617,,,GEO
84,,12,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094521,PBMC,NCIT_C12519,ES1067618,,,GEO
85,,13,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094522,PBMC,NCIT_C12519,ES1067619,,,GEO
86,,14,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094523,PBMC,NCIT_C12519,ES1067620,,,GEO
87,,15,blood draw,EFO_0009121,1.0,Days,UO_0000035,,PBMC : NA,,GSE79396,GSM2094524,PBMC,NCIT_C12519,ES1067621,,,GEO
