,experiment_id,study_id,experiment_type,experiment_type_id,experiment_control,source_id,reference_source,comments
0,,SDY20,vaccination experiment,,1,,,
1,,SDY22,vaccination experiment,,1,,,
2,,SDY35,vaccination experiment,,1,,,
3,,SDY35,vaccination experiment,,1,,,
4,,SDY35,vaccination experiment,,1,,,
5,,SDY34,vaccination experiment,,1,,,
6,,SDY34,vaccination experiment,,1,,,
7,,SDY60,vaccination experiment,,1,,,
8,,SDY59,vaccination experiment,,1,,,
9,,SDY180,vaccination experiment,,1,,,
10,,SDY180,vaccination experiment,,1,,,
11,,SDY58,vaccination experiment,,1,,,
12,,SDY58,vaccination experiment,,1,,,
13,,SDY58,vaccination experiment,,1,,,
14,,SDY58,vaccination experiment,,1,,,
15,,SDY62,vaccination experiment,,1,,,
16,,SDY62,vaccination experiment,,1,,,
17,,SDY61,vaccination experiment,,1,,,
18,,SDY269,vaccination experiment,,1,,,
19,,SDY61,vaccination experiment,,1,,,
20,,SDY269,vaccination experiment,,1,,,
21,,SDY61,vaccination experiment,,1,,,
22,,SDY61,vaccination experiment,,1,,,
23,,SDY271,vaccination experiment,,1,,,
24,,SDY271,vaccination experiment,,1,,,
25,,SDY63,vaccination experiment,,1,,,
26,,SDY63,vaccination experiment,,1,,,
27,,SDY63,vaccination experiment,,1,,,
28,,SDY63,vaccination experiment,,1,,,
29,,SDY64,vaccination experiment,,1,,,
30,,SDY64,vaccination experiment,,1,,,
31,,SDY64,vaccination experiment,,1,,,
32,,SDY271,vaccination experiment,,1,,,
33,,SDY78,vaccination experiment,,1,,,
34,,SDY78,vaccination experiment,,1,,,
35,,SDY78,vaccination experiment,,1,,,
36,,SDY78,vaccination experiment,,1,,,
37,,SDY78,vaccination experiment,,1,,,
38,,SDY78,vaccination experiment,,1,,,
39,,SDY78,vaccination experiment,,1,,,
40,,SDY24,vaccination experiment,,1,,,
41,,SDY60,vaccination experiment,,1,,,
42,,SDY80,vaccination experiment,,1,,,
43,,SDY67,vaccination experiment,,1,,,
44,,SDY224,vaccination experiment,,1,,,
45,,SDY74,vaccination experiment,,1,,,
46,,SDY87,vaccination experiment,,1,,,
47,,SDY89,vaccination experiment,,1,,,
48,,SDY97,vaccination experiment,,1,,,
49,,SDY97,vaccination experiment,,1,,,
50,,SDY97,vaccination experiment,,1,,,
51,,SDY91,vaccination experiment,,1,,,
52,,SDY95,vaccination experiment,,1,,,
53,,SDY95,vaccination experiment,,1,,,
54,,SDY95,vaccination experiment,,1,,,
55,,SDY95,vaccination experiment,,1,,,
56,,SDY95,vaccination experiment,,1,,,
57,,SDY95,vaccination experiment,,1,,,
58,,SDY95,vaccination experiment,,1,,,
59,,SDY95,vaccination experiment,,1,,,
60,,SDY95,vaccination experiment,,1,,,
61,,SDY95,vaccination experiment,,1,,,
62,,SDY95,vaccination experiment,,1,,,
63,,SDY95,vaccination experiment,,1,,,
64,,SDY95,vaccination experiment,,1,,,
65,,SDY95,vaccination experiment,,1,,,
66,,SDY95,vaccination experiment,,1,,,
67,,SDY95,vaccination experiment,,1,,,
68,,SDY95,vaccination experiment,,1,,,
69,,SDY100,vaccination experiment,,1,,,
70,,SDY100,vaccination experiment,,1,,,
71,,SDY100,vaccination experiment,,1,,,
72,,SDY100,vaccination experiment,,1,,,
73,,SDY100,vaccination experiment,,1,,,
74,,SDY100,vaccination experiment,,1,,,
75,,SDY100,vaccination experiment,,1,,,
76,,SDY99,vaccination experiment,,1,,,
77,,SDY99,vaccination experiment,,1,,,
78,,SDY99,vaccination experiment,,1,,,
79,,SDY99,vaccination experiment,,1,,,
80,,SDY99,vaccination experiment,,1,,,
81,,SDY99,vaccination experiment,,1,,,
82,,SDY99,vaccination experiment,,1,,,
83,,SDY99,vaccination experiment,,1,,,
84,,SDY99,vaccination experiment,,1,,,
85,,SDY67,vaccination experiment,,1,,,
86,,SDY110,vaccination experiment,,1,,,
87,,SDY110,vaccination experiment,,1,,,
