,group_id,experiment_id,group_id,group_size,reference_id,reference_source,comments,group_type
0,1,,1,,,,,Subjects
1,2,,2,,,,,Subjects
2,3,,3,,,,,Subjects
3,4,,4,,,,,Subjects
4,5,,5,,,,,Subjects
5,6,,6,,,,,Subjects
6,7,,7,,,,,Subjects
7,8,,8,,,,,Subjects
8,9,,9,,,,,Subjects
9,10,,10,,,,,Subjects
10,11,,11,,,,,Subjects
11,12,,12,,,,,Subjects
12,13,,13,,,,,Subjects
13,14,,14,,,,,Subjects
14,15,,15,,,,,Subjects
15,16,,16,,,,,Subjects
16,17,,17,,,,,Subjects
17,18,,18,,,,,Subjects
18,19,,19,,,,,Subjects
19,20,,20,,,,,Subjects
20,21,,21,,,,,Subjects
21,22,,22,,,,,Subjects
22,23,,23,,,,,Subjects
23,24,,24,,,,,Subjects
24,25,,25,,,,,Subjects
25,26,,26,,,,,Subjects
26,27,,27,,,,,Subjects
27,28,,28,,,,,Subjects
28,29,,29,,,,,Subjects
29,30,,30,,,,,Subjects
30,31,,31,,,,,Subjects
31,32,,32,,,,,Subjects
32,33,,33,,,,,Subjects
33,34,,34,,,,,Subjects
34,35,,35,,,,,Subjects
35,36,,36,,,,,Subjects
36,37,,37,,,,,Subjects
37,38,,38,,,,,Subjects
38,39,,39,,,,,Subjects
39,40,,40,,,,,Subjects
40,41,,41,,,,,Subjects
41,42,,42,,,,,Subjects
42,43,,43,,,,,Subjects
43,44,,44,,,,,Subjects
44,45,,45,,,,,Subjects
45,46,,46,,,,,Subjects
46,47,,47,,,,,Subjects
47,48,,48,,,,,Subjects
48,49,,49,,,,,Subjects
49,50,,50,,,,,Subjects
50,51,,51,,,,,Subjects
51,52,,52,,,,,Subjects
52,53,,53,,,,,Subjects
53,54,,54,,,,,Subjects
54,55,,55,,,,,Subjects
55,56,,56,,,,,Subjects
56,57,,57,,,,,Subjects
57,58,,58,,,,,Subjects
58,59,,59,,,,,Subjects
59,60,,60,,,,,Subjects
60,61,,61,,,,,Subjects
61,62,,62,,,,,Subjects
62,63,,63,,,,,Subjects
63,64,,64,,,,,Subjects
64,65,,65,,,,,Subjects
65,66,,66,,,,,Subjects
66,67,,67,,,,,Subjects
67,68,,68,,,,,Subjects
68,69,,69,,,,,Subjects
69,70,,70,,,,,Subjects
70,71,,71,,,,,Subjects
71,72,,72,,,,,Subjects
72,73,,73,,,,,Subjects
73,74,,74,,,,,Subjects
74,75,,75,,,,,Subjects
75,76,,76,,,,,Subjects
76,77,,77,,,,,Subjects
77,78,,78,,,,,Subjects
78,79,,79,,,,,Subjects
79,80,,80,,,,,Subjects
80,81,,81,,,,,Subjects
81,82,,82,,,,,Subjects
82,83,,83,,,,,Subjects
83,84,,84,,,,,Subjects
84,85,,85,,,,,Subjects
85,86,,86,,,,,Subjects
86,87,,87,,,,,Subjects
87,88,,88,,,,,Subjects
88,89,,89,,,,,Subjects
89,90,,90,,,,,Subjects
90,91,,91,,,,,Subjects
91,92,,92,,,,,Subjects
92,93,,93,,,,,Subjects
93,94,,94,,,,,Subjects
94,95,,95,,,,,Subjects
95,96,,96,,,,,Subjects
96,97,,97,,,,,Subjects
97,98,,98,,,,,Subjects
98,99,,99,,,,,Subjects
99,100,,100,,,,,Subjects
100,101,,101,,,,,Subjects
101,102,,102,,,,,Subjects
102,103,,103,,,,,Subjects
103,104,,104,,,,,Subjects
104,105,,105,,,,,Subjects
105,106,,106,,,,,Subjects
106,107,,107,,,,,Subjects
107,108,,108,,,,,Subjects
108,109,,109,,,,,Subjects
109,110,,110,,,,,Subjects
110,111,,111,,,,,Subjects
111,112,,112,,,,,Subjects
112,113,,113,,,,,Subjects
113,114,,114,,,,,Subjects
114,115,,115,,,,,Subjects
115,116,,116,,,,,Subjects
116,117,,117,,,,,Subjects
117,118,,118,,,,,Subjects
118,119,,119,,,,,Subjects
119,120,,120,,,,,Subjects
120,121,,121,,,,,Subjects
121,122,,122,,,,,Subjects
122,123,,123,,,,,Subjects
123,124,,124,,,,,Subjects
124,125,,125,,,,,Subjects
125,126,,126,,,,,Subjects
126,127,,127,,,,,Subjects
127,128,,128,,,,,Subjects
128,129,,129,,,,,Subjects
129,130,,130,,,,,Subjects
130,131,,131,,,,,Subjects
131,132,,132,,,,,Subjects
132,133,,133,,,,,Subjects
133,134,,134,,,,,Subjects
134,135,,135,,,,,Subjects
135,136,,136,,,,,Subjects
136,137,,137,,,,,Subjects
137,138,,138,,,,,Subjects
138,139,,139,,,,,Subjects
139,140,,140,,,,,Subjects
140,141,,141,,,,,Subjects
141,142,,142,,,,,Subjects
142,143,,143,,,,,Subjects
143,144,,144,,,,,Subjects
144,145,,145,,,,,Subjects
145,146,,146,,,,,Subjects
146,147,,147,,,,,Subjects
147,148,,148,,,,,Subjects
148,149,,149,,,,,Subjects
149,150,,150,,,,,Subjects
150,151,,151,,,,,Subjects
151,152,,152,,,,,Subjects
152,153,,153,,,,,Subjects
153,154,,154,,,,,Subjects
154,155,,155,,,,,Subjects
155,156,,156,,,,,Subjects
156,157,,157,,,,,Subjects
157,158,,158,,,,,Subjects
158,159,,159,,,,,Subjects
159,160,,160,,,,,Subjects
160,161,,161,,,,,Subjects
161,162,,162,,,,,Subjects
162,163,,163,,,,,Subjects
163,164,,164,,,,,Subjects
164,165,,165,,,,,Subjects
165,166,,166,,,,,Subjects
166,167,,167,,,,,Subjects
167,168,,168,,,,,Subjects
168,169,,169,,,,,Subjects
169,170,,170,,,,,Subjects
170,171,,171,,,,,Subjects
171,172,,172,,,,,Subjects
172,173,,173,,,,,Subjects
173,174,,174,,,,,Subjects
174,175,,175,,,,,Subjects
175,176,,176,,,,,Subjects
176,177,,177,,,,,Subjects
177,178,,178,,,,,Subjects
178,179,,179,,,,,Subjects
179,180,,180,,,,,Subjects
180,181,,181,,,,,Subjects
181,182,,182,,,,,Subjects
182,183,,183,,,,,Subjects
183,184,,184,,,,,Subjects
184,185,,185,,,,,Subjects
185,186,,186,,,,,Subjects
186,187,,187,,,,,Subjects
187,188,,188,,,,,Subjects
188,189,,189,,,,,Subjects
189,190,,190,,,,,Subjects
190,191,,191,,,,,Subjects
191,192,,192,,,,,Subjects
192,193,,193,,,,,Subjects
193,194,,194,,,,,Subjects
194,195,,195,,,,,Subjects
195,196,,196,,,,,Subjects
196,197,,197,,,,,Subjects
197,198,,198,,,,,Subjects
198,199,,199,,,,,Subjects
199,200,,200,,,,,Subjects
200,201,,201,,,,,Subjects
201,202,,202,,,,,Subjects
202,203,,203,,,,,Subjects
203,204,,204,,,,,Subjects
204,205,,205,,,,,Subjects
205,206,,206,,,,,Subjects
206,207,,207,,,,,Subjects
207,208,,208,,,,,Subjects
208,209,,209,,,,,Subjects
209,210,,210,,,,,Subjects
210,211,,211,,,,,Subjects
211,212,,212,,,,,Subjects
212,213,,213,,,,,Subjects
213,214,,214,,,,,Subjects
214,215,,215,,,,,Subjects
215,216,,216,,,,,Subjects
216,217,,217,,,,,Subjects
217,218,,218,,,,,Subjects
218,219,,219,,,,,Subjects
219,220,,220,,,,,Subjects
220,221,,221,,,,,Subjects
221,222,,222,,,,,Subjects
222,223,,223,,,,,Subjects
223,224,,224,,,,,Subjects
224,225,,225,,,,,Subjects
225,226,,226,,,,,Subjects
226,227,,227,,,,,Subjects
227,228,,228,,,,,Subjects
228,229,,229,,,,,Subjects
229,230,,230,,,,,Subjects
230,231,,231,,,,,Subjects
231,232,,232,,,,,Subjects
232,233,,233,,,,,Subjects
233,234,,234,,,,,Subjects
234,235,,235,,,,,Subjects
235,236,,236,,,,,Subjects
236,237,,237,,,,,Subjects
237,238,,238,,,,,Subjects
238,239,,239,,,,,Subjects
239,240,,240,,,,,Subjects
240,241,,241,,,,,Subjects
241,242,,242,,,,,Subjects
