,results_id,experiment_id,group_id,sample_id,analysis_name,analysis_id,original_assay_type,original_assay_type_id,datatype,datatype_id,file_access,file_type,replications,comments,result_id
109253,,,,,,,RNA SEQ,,,,,,,,EXP33241
109254,,,,,,,RNA SEQ,,,,,,,,EXP33241
109255,,,,,,,RNA SEQ,,,,,,,,EXP33242
109256,,,,,,,RNA SEQ,,,,,,,,EXP33242
109257,,,,,,,RNA SEQ,,,,,,,,EXP33242
109258,,,,,,,RNA SEQ,,,,,,,,EXP33241
109259,,,,,,,RNA SEQ,,,,,,,,EXP33242
109260,,,,,,,RNA SEQ,,,,,,,,EXP33242
109261,,,,,,,RNA SEQ,,,,,,,,EXP33242
109262,,,,,,,RNA SEQ,,,,,,,,EXP33242
109263,,,,,,,RNA SEQ,,,,,,,,EXP33242
109264,,,,,,,RNA SEQ,,,,,,,,EXP33242
109265,,,,,,,RNA SEQ,,,,,,,,EXP33242
109266,,,,,,,RNA SEQ,,,,,,,,EXP33242
109267,,,,,,,RNA SEQ,,,,,,,,EXP33241
109268,,,,,,,RNA SEQ,,,,,,,,EXP33241
109269,,,,,,,RNA SEQ,,,,,,,,EXP33241
109270,,,,,,,RNA SEQ,,,,,,,,EXP33241
109271,,,,,,,RNA SEQ,,,,,,,,EXP33241
109272,,,,,,,RNA SEQ,,,,,,,,EXP33241
109273,,,,,,,RNA SEQ,,,,,,,,EXP33241
109274,,,,,,,RNA SEQ,,,,,,,,EXP33241
109275,,,,,,,RNA SEQ,,,,,,,,EXP33241
109276,,,,,,,RNA SEQ,,,,,,,,EXP33241
109277,,,,,,,RNA SEQ,,,,,,,,EXP33241
109278,,,,,,,RNA SEQ,,,,,,,,EXP33241
109279,,,,,,,RNA SEQ,,,,,,,,EXP33241
109280,,,,,,,RNA SEQ,,,,,,,,EXP33241
109281,,,,,,,RNA SEQ,,,,,,,,EXP33241
109282,,,,,,,RNA SEQ,,,,,,,,EXP33241
109283,,,,,,,RNA SEQ,,,,,,,,EXP33241
109284,,,,,,,RNA SEQ,,,,,,,,EXP20686
109285,,,,,,,RNA SEQ,,,,,,,,EXP20686
109286,,,,,,,RNA SEQ,,,,,,,,EXP20686
109287,,,,,,,RNA SEQ,,,,,,,,EXP20686
109288,,,,,,,RNA SEQ,,,,,,,,EXP20686
109289,,,,,,,RNA SEQ,,,,,,,,EXP20686
109290,,,,,,,RNA SEQ,,,,,,,,EXP20686
109291,,,,,,,RNA SEQ,,,,,,,,EXP20686
109292,,,,,,,RNA SEQ,,,,,,,,EXP20686
109293,,,,,,,RNA SEQ,,,,,,,,EXP20686
109294,,,,,,,RNA SEQ,,,,,,,,EXP20686
109295,,,,,,,RNA SEQ,,,,,,,,EXP20686
109296,,,,,,,RNA SEQ,,,,,,,,EXP20686
109297,,,,,,,RNA SEQ,,,,,,,,EXP20686
109298,,,,,,,RNA SEQ,,,,,,,,EXP20686
109299,,,,,,,RNA SEQ,,,,,,,,EXP20686
109300,,,,,,,RNA SEQ,,,,,,,,EXP33242
109301,,,,,,,RNA SEQ,,,,,,,,EXP33242
109302,,,,,,,RNA SEQ,,,,,,,,EXP33242
109303,,,,,,,RNA SEQ,,,,,,,,EXP33242
109304,,,,,,,RNA SEQ,,,,,,,,EXP33242
109305,,,,,,,RNA SEQ,,,,,,,,EXP33242
109306,,,,,,,RNA SEQ,,,,,,,,EXP33242
109307,,,,,,,RNA SEQ,,,,,,,,EXP33242
109308,,,,,,,RNA SEQ,,,,,,,,EXP33242
109309,,,,,,,RNA SEQ,,,,,,,,EXP33242
109310,,,,,,,RNA SEQ,,,,,,,,EXP33242
109311,,,,,,,RNA SEQ,,,,,,,,EXP33242
109312,,,,,,,RNA SEQ,,,,,,,,EXP33242
109313,,,,,,,RNA SEQ,,,,,,,,EXP33242
109314,,,,,,,RNA SEQ,,,,,,,,EXP33242
109315,,,,,,,RNA SEQ,,,,,,,,EXP33242
109316,,,,,,,RNA SEQ,,,,,,,,EXP33242
109317,,,,,,,RNA SEQ,,,,,,,,EXP33242
109318,,,,,,,RNA SEQ,,,,,,,,EXP33242
109319,,,,,,,RNA SEQ,,,,,,,,EXP33242
109320,,,,,,,RNA SEQ,,,,,,,,EXP33242
109321,,,,,,,RNA SEQ,,,,,,,,EXP33242
109322,,,,,,,RNA SEQ,,,,,,,,EXP33242
109323,,,,,,,RNA SEQ,,,,,,,,EXP33242
109324,,,,,,,RNA SEQ,,,,,,,,EXP33242
109325,,,,,,,RNA SEQ,,,,,,,,EXP33242
109326,,,,,,,RNA SEQ,,,,,,,,EXP33242
109327,,,,,,,RNA SEQ,,,,,,,,EXP33242
109328,,,,,,,RNA SEQ,,,,,,,,EXP33242
