,Gene_x
632433,AADAT
138025,AANAT
191531,AARD
218991,ABCF2-H2BK1
16797,ABRA
75639,ACADL
96051,ACAP2-IT1
635829,ACBD7
633151,ACE2
758858,ACER1
619780,ACKR1
76119,ACKR4
142902,ACOT6
18948,ACOXL-AS1
138053,ACSBG2
821844,ACTA2-AS1
125365,ACTG2
632688,ACTL8
631835,ACTN2
148785,ACTN3
141506,ACTRT3
145386,ACVR2B-AS1
262335,ADAD2
136698,ADAM11
138518,ADAM21
80398,ADAM32
130198,ADAMTSL2
885564,ADARB2-AS1
252272,ADCY1
126351,ADCY5
626787,ADCY6
213273,ADCY6-DT
695566,ADCYAP1
213075,ADGRA1-AS1
126721,ADGRA3
137724,ADGRB2
375595,ADGRB3
62431,ADGRL2
124318,ADGRL4
201521,ADGRV1
76074,ADM2
201442,ADORA1
371986,ADORA3
626478,ADRA2A
260338,ADRB1
513396,ADRB3
634262,AFF2
962261,AGAP1-IT1
511776,AGAP5
822477,AGBL4
153035,AGK-DT
380314,AHNAK2
127109,AHRR
635259,AHSP
138021,AJUBA
275399,AJUBA-DT
79870,AKAP14
510318,AKAP6
839819,AKR1C8
1005710,ALAS2
76115,ALDH1A2
64477,ALDH1L1
818064,ALDH3A1
97460,ALG9-IT1
18361,ALKAL2
139414,ALOX15
202883,ALOXE3
504431,ALPK3
879818,AMH
200165,AMHR2
880225,AMPD1
62903,ANGPTL1
79963,ANGPTL5
200637,ANK2
150353,ANK3-DT
140185,ANKK1
263577,ANKRD2
821147,ANKRD20A4P
134578,ANKRD29
264905,ANKRD30B
139507,ANKRD30BL
389669,ANKRD34B
144356,ANKRD44-DT
199697,ANKRD60
81090,ANKUB1
446007,ANO2
67040,ANOS1
155625,ANTXRL
91701,ANXA8
91581,ANXA8L1
76219,AOC2
72252,AOC3
633547,AOX1
678706,AOX3P-AOX2P
260900,AP3B2
192375,APLNR
135519,APLP1
147184,APOA1-AS
140520,APOBEC4
827658,APOC2
824817,APOC4-APOC2
2823,APOD
816445,APOE
880094,ARFGEF3
141710,ARGFX
826775,ARHGAP15-AS1
76510,ARHGAP20
123828,ARHGEF16
646318,ARHGEF17-AS1
143878,ARHGEF2-AS1
812592,ARHGEF25
886073,ARHGEF33
645564,ARL14EP-DT
76701,ARL5C
21808,ARMC2-AS1
145006,ARMCX3-AS1
146949,ARNILA
145456,ARSD-AS1
77338,ARSL
124181,ARTN
136430,ARX
265815,ASAH2
204399,ASB12
269921,ASCL5
157305,ASH1L-IT1
261143,ASIC1
11061,ASIP
129951,ASPN
880270,ATP10B
260995,ATP6V0A4
85996,ATP6V1B1-AS1
138997,ATP6V1G3
154053,ATXN7L3-AS1
75116,AVP
441284,AVPR1A
385484,AVPR2
77597,AXDND1
283160,B3GAT1-DT
141053,B3GNT3
138285,B4GALNT1
209388,BAALC-AS2
84225,BACH1-AS1
98787,BACH1-IT1
261748,BAIAP2L2
440507,BAMBI
385664,BARX1
150475,BBOX1-AS1
630778,BCAM
818924,BCAN
207378,BCAN-AS2
277735,BCAS3-AS1
200302,BCL2L10
133822,BCL6B
227279,BCRP3
450206,BDNF
91188,BEAN1-AS1
447381,BEST3
202998,BHLHA15
79246,BHLHE22
69246,BICC1
275127,BICD1-AS1
133254,BICDL2
196895,BIRC7
156589,BLACAT1
15276,BMP3
884080,BMP8A
217867,BMS1P14
